category,kind,directory,asset,model,author,license,confidence,score,faces,url
Starships,individual,Individuals/Bogey Three (Nikardun base),Bogey Three,Naboo Patrol Ship,CorelliaStar Shipyards,,inherited,1.0,,https://sketchfab.com/3d-models/none-b4aa0b4fb1c94e24a62aabe9c59a5453
Starships,individual,Individuals/Bogey Two (Nikardun base),Bogey Two,Naboo Patrol Ship,CorelliaStar Shipyards,,inherited,1.0,,https://sketchfab.com/3d-models/none-b4aa0b4fb1c94e24a62aabe9c59a5453
Starships,individual,Individuals/Bolide,Bolide,Republic Assault Ship,StarWars-Universe,,inherited,1.0,,https://sketchfab.com/3d-models/none-e56b33bb58cc448ab134675e69dbc224
Starships,individual,Individuals/Bomb (Immobilizer 418 cruiser),Bomb,Lego Clone Trooper (MOC) Bomb Squad Commander,Awesome Ploy 3D,,exact,1.0,,https://sketchfab.com/3d-models/none-3861f861011341bea8ec56e02c065c03
Starships,individual,Individuals/Bombard,Bombard,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Bonderium,Bonderium,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/Bonecrusher,Bonecrusher,Invictus Class Star Cruiser,Conner Bentley,,inherited,1.0,,https://sketchfab.com/3d-models/none-8ba24769c02b401d88f50655505c92be
Starships,individual,Individuals/Boolarg,Boolarg,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Booster BX,Booster BX,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Borealis (CR90 corvette),Borealis,USS Borealis (Ec Henry pacific 201 inspired),Sol,,exact,1.0,,https://sketchfab.com/3d-models/none-3ee9a475c89a47c785df514a944f91c4
Starships,individual,Individuals/Borealis (cruiser),Borealis,USS Borealis (Ec Henry pacific 201 inspired),Sol,,exact,1.0,,https://sketchfab.com/3d-models/none-3ee9a475c89a47c785df514a944f91c4
Starships,individual,Individuals/Borogove,Borogove,Star Wars: BFF-1 Bulk Freighter,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-2131f750afff479588a46321d17ee25f
